date,close,real,ma_5,ma_10,ma_20,ma_30,ma_60,ma_90,ma_180,ma_240,ma_360
2011-12-31,4.58,True,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58
2012-01-01,5.0,True,4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.79
2012-01-02,5.0,True,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86
2012-01-03,5.32,True,4.975,4.975,4.975,4.975,4.975,4.975,4.975,4.975,4.975
2012-01-04,5.57,True,5.093999999999999,5.093999999999999,5.093999999999999,5.093999999999999,5.093999999999999,5.093999999999999,5.093999999999999,5.093999999999999,5.093999999999999
2012-01-05,6.65,True,5.508,5.353333333333333,5.353333333333333,5.353333333333333,5.353333333333333,5.353333333333333,5.353333333333333,5.353333333333333,5.353333333333333
2012-01-06,6.9,True,5.888,5.574285714285714,5.574285714285714,5.574285714285714,5.574285714285714,5.574285714285714,5.574285714285714,5.574285714285714,5.574285714285714
2012-01-07,6.8,True,6.247999999999999,5.727499999999999,5.727499999999999,5.727499999999999,5.727499999999999,5.727499999999999,5.727499999999999,5.727499999999999,5.727499999999999
2012-01-08,7.0,True,6.5840000000000005,5.868888888888888,5.868888888888888,5.868888888888888,5.868888888888888,5.868888888888888,5.868888888888888,5.868888888888888,5.868888888888888
2012-01-09,6.9,True,6.85,5.9719999999999995,5.9719999999999995,5.9719999999999995,5.9719999999999995,5.9719999999999995,5.9719999999999995,5.9719999999999995,5.9719999999999995
2012-01-10,7.14,True,6.948,6.228,6.078181818181817,6.078181818181817,6.078181818181817,6.078181818181817,6.078181818181817,6.078181818181817,6.078181818181817
2012-01-11,7.33,True,7.034000000000001,6.461,6.182499999999998,6.182499999999998,6.182499999999998,6.182499999999998,6.182499999999998,6.182499999999998,6.182499999999998
2012-01-12,7.38,True,7.15,6.699,6.274615384615383,6.274615384615383,6.274615384615383,6.274615384615383,6.274615384615383,6.274615384615383,6.274615384615383
2012-01-13,7.36,True,7.2219999999999995,6.9030000000000005,6.352142857142856,6.352142857142856,6.352142857142856,6.352142857142856,6.352142857142856,6.352142857142856,6.352142857142856
2012-01-14,6.5,True,7.141999999999999,6.996,6.361999999999998,6.361999999999998,6.361999999999998,6.361999999999998,6.361999999999998,6.361999999999998,6.361999999999998
2012-01-15,7.15,True,7.144,7.046000000000001,6.411249999999999,6.411249999999999,6.411249999999999,6.411249999999999,6.411249999999999,6.411249999999999,6.411249999999999
2012-01-16,7.1,True,7.098000000000001,7.066,6.4517647058823515,6.4517647058823515,6.4517647058823515,6.4517647058823515,6.4517647058823515,6.4517647058823515,6.4517647058823515
2012-01-17,6.9,True,7.002,7.0760000000000005,6.476666666666666,6.476666666666666,6.476666666666666,6.476666666666666,6.476666666666666,6.476666666666666,6.476666666666666
2012-01-18,7.1,True,6.95,7.086,6.509473684210525,6.509473684210525,6.509473684210525,6.509473684210525,6.509473684210525,6.509473684210525,6.509473684210525
2012-01-19,7.0,True,7.05,7.095999999999999,6.533999999999999,6.533999999999999,6.533999999999999,6.533999999999999,6.533999999999999,6.533999999999999,6.533999999999999
2012-01-20,6.95,True,7.010000000000001,7.077,6.652499999999999,6.553809523809522,6.553809523809522,6.553809523809522,6.553809523809522,6.553809523809522,6.553809523809522
2012-01-21,6.77,True,6.944,7.021000000000001,6.741,6.563636363636363,6.563636363636363,6.563636363636363,6.563636363636363,6.563636363636363,6.563636363636363
2012-01-22,6.83,True,6.93,6.965999999999999,6.8325000000000005,6.5752173913043475,6.5752173913043475,6.5752173913043475,6.5752173913043475,6.5752173913043475,6.5752173913043475
2012-01-23,6.52,True,6.813999999999998,6.882,6.892500000000001,6.572916666666667,6.572916666666667,6.572916666666667,6.572916666666667,6.572916666666667,6.572916666666667
2012-01-24,6.57,True,6.728,6.8889999999999985,6.9425,6.5728,6.5728,6.5728,6.5728,6.5728,6.5728
2012-01-25,6.86,True,6.709999999999999,6.860000000000001,6.953,6.583846153846154,6.583846153846154,6.583846153846154,6.583846153846154,6.583846153846154,6.583846153846154
2012-01-26,6.3,True,6.616,6.779999999999999,6.923,6.573333333333334,6.573333333333334,6.573333333333334,6.573333333333334,6.573333333333334,6.573333333333334
2012-01-27,6.03,True,6.456,6.693,6.8845,6.553928571428572,6.553928571428572,6.553928571428572,6.553928571428572,6.553928571428572,6.553928571428572
2012-01-28,4.91,True,6.134,6.473999999999999,6.779999999999999,6.497241379310346,6.497241379310346,6.497241379310346,6.497241379310346,6.497241379310346,6.497241379310346
2012-01-29,5.9,True,6.0,6.363999999999999,6.7299999999999995,6.477333333333334,6.477333333333334,6.477333333333334,6.477333333333334,6.477333333333334,6.477333333333334
