,index,Date,Close,ma_5,ma_10,ma_20,ma_30,ma_60,ma_180,ma_240,ma_360,Gold,Nasdaq_Comp,SP500,INDU,Oil,Btc_diff,Gold_diff,Nasdaq_diff,SP500_diff,INDU_diff,Oil_diff,Btc_diffpct,Gold_diffpct,Nasdaq_diffpct,SP500_diffpct,INDU_diffpct,Oil_diffpct
38,59,2012-02-28,5.1,5.12,4.909000000000001,5.1765,5.475,5.976166666666668,5.976166666666668,5.976166666666668,5.976166666666668,49.46,2986.76,1372.18,13005.12,47.3199,0.0,0.9500000000000028,20.600000000000364,4.5900000000001455,23.610000000000582,-0.13010000000000588,0.0,0.0195835910121625,0.006945006338161247,0.003356269057246796,0.0018187406549777785,-0.0027418335089569204
39,60,2012-02-29,5.0,5.076,4.971,5.132,5.455666666666667,5.983166666666667,5.96016393442623,5.96016393442623,5.96016393442623,47.73,2966.89,1365.68,12952.07,46.56,-0.09999999999999964,-1.730000000000004,-19.870000000000346,-6.5,-53.05000000000109,-0.7598999999999947,-0.019607843137254832,-0.03497775980590384,-0.006652693889030369,-0.004736987858735734,-0.004079162668241515,-0.016058782879929897
40,61,2012-03-01,5.05,5.064,5.004,5.0905,5.416666666666667,5.984,5.945483870967743,5.945483870967743,5.945483870967743,48.04,2988.97,1374.09,12980.3,47.7,0.04999999999999982,0.3100000000000023,22.079999999999927,8.409999999999854,28.229999999999563,1.1400000000000006,0.009999999999999964,0.0064948669599832875,0.007442136378497325,0.0061581043875577396,0.0021795743846350093,0.024484536082474237
41,62,2012-03-02,4.98,5.046,5.044,5.054,5.382999999999999,5.983666666666667,5.930158730158731,5.930158730158731,5.930158730158731,47.42,2976.19,1369.63,12977.57,46.63,-0.0699999999999994,-0.6199999999999974,-12.779999999999745,-4.459999999999809,-2.7299999999995634,-1.0700000000000003,-0.013861386138613742,-0.012905911740216434,-0.004275720398665676,-0.0032457844828212195,-0.00021031871374310021,-0.022431865828092246
42,65,2012-03-05,5.06,4.978,5.027000000000001,4.9285,5.240666666666667,5.939000000000001,5.885757575757577,5.885757575757577,5.885757575757577,46.76,2950.48,1364.33,12962.81,46.61,0.07999999999999918,-0.6600000000000037,-25.710000000000036,-5.300000000000182,-14.760000000000218,-0.020000000000003126,0.016064257028112285,-0.013918177983973084,-0.008638561382169833,-0.0038696582288648626,-0.0011373469763599979,-0.0004289084280506782
43,66,2012-03-06,5.05,4.978,5.021,4.927,5.2040000000000015,5.908166666666668,5.873283582089553,5.873283582089553,5.873283582089553,45.73,2910.32,1343.36,12759.15,45.89,-0.009999999999999787,-1.0300000000000011,-40.159999999999854,-20.970000000000027,-203.65999999999985,-0.7199999999999989,-0.0019762845849801954,-0.022027373823781036,-0.013611344594777749,-0.015370181700908158,-0.01571109967669046,-0.015447328899377792
44,67,2012-03-07,5.09,5.0,5.023000000000001,4.9325,5.177000000000001,5.879666666666666,5.861764705882353,5.861764705882353,5.861764705882353,45.8,2935.69,1352.63,12837.33,46.41,0.040000000000000036,0.07000000000000028,25.36999999999989,9.27000000000021,78.18000000000029,0.519999999999996,0.007920792079207928,0.0015307238136890507,0.008717254459990616,0.006900607432110685,0.006127367418676032,0.011331444759206713
45,68,2012-03-08,5.08,5.017999999999999,5.021000000000001,4.9465,5.150333333333334,5.847666666666667,5.850434782608696,5.850434782608696,5.850434782608696,46.05,2970.42,1365.91,12907.94,46.6,-0.009999999999999787,0.25,34.73000000000002,13.279999999999973,70.61000000000058,0.19000000000000483,-0.001964636542239644,0.005458515283842795,0.011830268182267208,0.009817910293280477,0.005500364951278855,0.004093945270415963
46,69,2012-03-09,5.07,5.07,5.018,4.963499999999999,5.123666666666667,5.817166666666666,5.839285714285714,5.839285714285714,5.839285714285714,45.81,2988.34,1370.87,12922.02,47.148,-0.009999999999999787,-0.23999999999999488,17.920000000000073,4.959999999999809,14.079999999999927,0.5480000000000018,-0.001968503937007832,-0.00521172638436471,0.006032816908046698,0.0036312787811787076,0.0010908014756808543,0.011759656652360553
47,72,2012-03-12,4.99,5.026000000000001,5.013,5.028499999999999,5.040333333333334,5.702666666666667,5.804520547945206,5.804520547945206,5.804520547945206,45.63,2983.66,1371.09,12959.71,46.43,-0.08000000000000007,-0.17999999999999972,-4.680000000000291,0.22000000000002728,37.68999999999869,-0.7180000000000035,-0.01577909270216964,-0.003929273084479365,-0.0015660868575865835,0.00016048202966001686,0.0029167266418097704,-0.01522864172393322
48,73,2012-03-13,5.32,5.074,5.046,5.0649999999999995,5.025,5.668666666666667,5.797972972972973,5.797972972972973,5.797972972972973,45.35,3039.88,1395.95,13177.68,46.67,0.33000000000000007,-0.28000000000000114,56.220000000000255,24.860000000000127,217.97000000000116,0.240000000000002,0.06613226452905813,-0.0061363138286215455,0.018842629522130623,0.01813155956210032,0.016819049191687252,0.00516907172087017
49,74,2012-03-14,5.44,5.148000000000001,5.109,5.075999999999999,5.013333333333334,5.651,5.7932,5.7932,5.7932,43.32,3040.73,1394.28,13194.1,46.23,0.1200000000000001,-2.030000000000001,0.849999999999909,-1.6700000000000728,16.420000000000073,-0.44000000000000483,0.02255639097744363,-0.044762954796030895,0.0002796163006434165,-0.0011963179196963162,0.001246046345031908,-0.009427898007285298
50,75,2012-03-15,5.43,5.236,5.146,5.086499999999999,5.001,5.622333333333333,5.78842105263158,5.78842105263158,5.78842105263158,43.85,3056.37,1402.6,13252.76,46.23,-0.010000000000000675,0.5300000000000011,15.639999999999873,8.319999999999936,58.659999999999854,0.0,-0.001838235294117771,0.012234533702677772,0.0051435017249146986,0.005967237570645736,0.004445926588399349,0.0
51,76,2012-03-16,5.41,5.318,5.182,5.1015,5.012,5.594166666666666,5.783506493506494,5.783506493506494,5.783506493506494,43.95,3055.26,1404.17,13232.62,46.27,-0.019999999999999574,0.10000000000000142,-1.1099999999996726,1.5700000000001637,-20.139999999999418,0.04000000000000625,-0.0036832412523019474,0.002280501710376315,-0.0003631759243807761,0.0011193497789820075,-0.001519683447070604,0.0008652390222800402
52,79,2012-03-19,5.37,5.41,5.279,5.1485,5.068666666666666,5.514333333333335,5.7692499999999995,5.7692499999999995,5.7692499999999995,43.64,3078.32,1409.75,13239.13,47.13,-0.040000000000000036,-0.3100000000000023,23.059999999999945,5.579999999999927,6.509999999998399,0.8599999999999994,-0.0073937153419593405,-0.0070534698521047155,0.007547639153459916,0.003973877806818211,0.000491966065676971,0.018586557164469403
53,80,2012-03-20,4.97,5.318,5.276999999999999,5.147,5.088333333333333,5.4813333333333345,5.759382716049383,5.759382716049383,5.759382716049383,43.79,3074.15,1405.52,13170.19,46.27,-0.40000000000000036,0.14999999999999858,-4.170000000000073,-4.230000000000018,-68.93999999999869,-0.8599999999999994,-0.07448789571694606,0.0034372135655361727,-0.0013546349957119703,-0.003000532009221506,-0.0052072908114051825,-0.018247400806280487
54,81,2012-03-21,4.96,5.228,5.273,5.1425,5.096333333333333,5.451166666666667,5.749634146341463,5.749634146341463,5.749634146341463,43.63,3075.32,1402.89,13124.62,46.48,-0.009999999999999787,-0.1599999999999966,1.1700000000000728,-2.6299999999998818,-45.56999999999971,0.20999999999999375,-0.002012072434607603,-0.003653802237953793,0.00038059300944979027,-0.0018711935796003486,-0.0034600867565312047,0.004538577912254025
55,82,2012-03-22,4.98,5.14,5.272,5.1425,5.109666666666667,5.420333333333334,5.740361445783132,5.740361445783132,5.740361445783132,43.08,3063.32,1392.78,13046.14,46.48,0.020000000000000462,-0.5500000000000043,-12.0,-10.110000000000127,-78.48000000000138,0.0,0.004032258064516223,-0.012606005042402115,-0.0039020329591717283,-0.0072065521886962814,-0.005979601695134898,0.0
56,83,2012-03-23,4.88,5.032,5.228000000000001,5.137,5.119333333333333,5.393,5.730119047619048,5.730119047619048,5.730119047619048,43.76,3067.92,1397.11,13080.73,46.6,-0.10000000000000053,0.6799999999999997,4.599999999999909,4.329999999999927,34.590000000000146,0.12000000000000455,-0.020080321285140666,0.01578458681522748,0.001501638744891134,0.003108890133402208,0.0026513589460177606,0.0025817555938038848
57,86,2012-03-26,4.75,4.856,5.042,5.112,5.081666666666667,5.304499999999999,5.698275862068965,5.698275862068965,5.698275862068965,44.49,3122.57,1416.51,13241.63,46.6,-0.1299999999999999,0.730000000000004,54.65000000000009,19.40000000000009,160.89999999999964,0.0,-0.02663934426229506,0.016681901279707586,0.017813371926256254,0.013885807130433603,0.012300536743744397,0.0
58,87,2012-03-27,4.97,4.854,4.997,5.106,5.078333333333333,5.286833333333333,5.6899999999999995,5.6899999999999995,5.6899999999999995,43.8,3120.35,1412.52,13197.73,46.78,0.21999999999999975,-0.6900000000000048,-2.2200000000002547,-3.990000000000009,-43.899999999999636,0.17999999999999972,0.04631578947368416,-0.015509103169251625,-0.0007109528369260751,-0.002816782091195974,-0.003315301817072342,0.0038626609442060024
59,88,2012-03-28,4.95,4.868,4.95,5.099500000000001,5.073333333333333,5.2875,5.681685393258427,5.681685393258427,5.681685393258427,43.15,3104.96,1405.54,13126.21,46.78,-0.019999999999999574,-0.6499999999999986,-15.389999999999873,-6.980000000000018,-71.52000000000044,0.0,-0.004024144869215206,-0.014840182648401794,-0.004932139022865984,-0.00494152295188742,-0.005419113741529827,0.0
60,89,2012-03-29,4.93,4.888,4.906000000000001,5.092499999999999,5.067666666666666,5.2713333333333345,5.673333333333333,5.673333333333333,5.673333333333333,43.13,3095.36,1403.28,13145.82,45.13,-0.020000000000000462,-0.01999999999999602,-9.599999999999909,-2.259999999999991,19.610000000000582,-1.6499999999999986,-0.004040404040404133,-0.000463499420625632,-0.003091827269916491,-0.0016079229335344359,0.001493957509441079,-0.035271483539974315
61,90,2012-03-30,4.91,4.901999999999999,4.9,5.088499999999999,5.064666666666667,5.2601666666666675,5.664945054945055,5.664945054945055,5.664945054945055,43.48,3091.57,1408.47,13212.04,45.1,-0.019999999999999574,0.3499999999999943,-3.7899999999999636,5.190000000000055,66.22000000000116,-0.030000000000001137,-0.004056795131845756,0.008115001159285748,-0.0012244133154140273,0.003698477851889897,0.005037342668620228,-0.0006647462884999144
62,93,2012-04-02,5.04,4.938,4.9030000000000005,5.065500000000001,5.058999999999998,5.199500000000001,5.642127659574467,5.642127659574467,5.642127659574467,44.21,3119.7,1419.04,13264.49,46.021,0.1299999999999999,0.730000000000004,28.129999999999654,10.569999999999936,52.44999999999891,0.9209999999999994,0.02647657841140527,0.01678932842686302,0.009098936786163553,0.007504597187018493,0.0039698638514566184,0.020421286031042114
63,94,2012-04-03,5.04,4.959999999999999,4.9239999999999995,5.0455000000000005,5.0666666666666655,5.177666666666668,5.635789473684209,5.635789473684209,5.635789473684209,42.94,3113.57,1413.38,13199.55,45.61,0.0,-1.2700000000000031,-6.129999999999654,-5.6599999999998545,-64.94000000000051,-0.41100000000000136,0.0,-0.028726532458719818,-0.001964932525563245,-0.003988612019393291,-0.004895778126411231,-0.00893070554746749
64,95,2012-04-04,5.01,4.9799999999999995,4.941,5.024500000000001,5.064999999999999,5.152833333333334,5.629270833333334,5.629270833333334,5.629270833333334,41.31,3068.09,1398.96,13074.75,44.68,-0.03000000000000025,-1.6299999999999955,-45.48000000000002,-14.420000000000073,-124.79999999999927,-0.9299999999999997,-0.0059523809523810015,-0.03795994410805765,-0.014607026660714234,-0.010202493313900064,-0.009454867779583341,-0.020390265292698963
65,96,2012-04-05,5.04,5.004,4.97,5.006000000000001,5.064666666666666,5.134333333333335,5.62319587628866,5.62319587628866,5.62319587628866,40.73,3080.5,1398.08,13060.14,45.15,0.03000000000000025,-0.5800000000000054,12.409999999999854,-0.8800000000001091,-14.610000000000582,0.46999999999999886,0.005988023952095858,-0.014040183974824628,0.004044861786974911,-0.000629038714473687,-0.0011174209831928397,0.010519247985675892
